TITLE_ID,TITLE_NAME,CONTACT_ID,AUTHOR_PROFILE_ID,INTAKE_ID,OPPORTUNITY_ID,PUBLISHING_ASSET_IDS,CURRENT_RELATIONSHIPS
992156cd-c37a-f111-ab0f-00224820105b,Peaches Can Do It!,,,,,3fa105f4-c47a-f111-ab0f-6045bdd69738; 1d02ddee-c47a-f111-ab0f-7c1e525b15c2,992156cd-c37a-f111-ab0f-00224820105b
f78be1e6-b389-f111-ab10-000d3a14673b,Pretty Wings,,,,,,f78be1e6-b389-f111-ab10-000d3a14673b
52e06ae6-b389-f111-ab10-7c1e525b15c2,Pretty Wings,,,,,,52e06ae6-b389-f111-ab10-7c1e525b15c2
c7a6c7e3-b389-f111-ab10-000d3a9eacee,Rhyming It up with Church Stuff,,,,,,c7a6c7e3-b389-f111-ab10-000d3a9eacee
87c2a2e6-b389-f111-ab10-6045bdd69738,Rhyming It up with Church Stuff,,,,,,87c2a2e6-b389-f111-ab10-6045bdd69738
d5f603d3-c27a-f111-ab0f-000d3a14673b,Rhyming It up with Church Stuff,,,,,1902ddee-c47a-f111-ab0f-7c1e525b15c2; 1a02ddee-c47a-f111-ab0f-7c1e525b15c2,d5f603d3-c27a-f111-ab0f-000d3a14673b
a01a04cd-c27a-f111-ab0f-000d3a14673b,She,,,,,9f6ef3dc-c47a-f111-ab0f-6045bdd69435; 114a4fdb-c47a-f111-ab0f-6045bdd69738,a01a04cd-c27a-f111-ab0f-000d3a14673b
8a8fefe6-b389-f111-ab10-00224820105b,Speech Therapy Works!,,,,,,8a8fefe6-b389-f111-ab10-00224820105b
cda6c7e3-b389-f111-ab10-000d3a9eacee,The Celestial Advantage,,,,,,cda6c7e3-b389-f111-ab10-000d3a9eacee
fc8be1e6-b389-f111-ab10-000d3a14673b,The Conquest of Azenga,,,,,,fc8be1e6-b389-f111-ab10-000d3a14673b
8bdea4e3-b389-f111-ab10-6045bdd69435,The Conquest of Azenga,,,,,,8bdea4e3-b389-f111-ab10-6045bdd69435
8d8fefe6-b389-f111-ab10-00224820105b,The Doctrine of Last Things,,,,,,8d8fefe6-b389-f111-ab10-00224820105b
1fef73e4-b389-f111-ab10-6045bdd69678,The Doctrine of Last Things,,,,,,1fef73e4-b389-f111-ab10-6045bdd69678
f96286cf-c37a-f111-ab0f-000d3a14673b,The Doctrine of Last Things,,,,,f89680e2-c47a-f111-ab0f-6045bdd69678; fb9680e2-c47a-f111-ab0f-6045bdd69678,f96286cf-c37a-f111-ab0f-000d3a14673b
b67835ca-c37a-f111-ab0f-6045bdd69678,"The Essence of Life, Love Letters to Christ",,,,,398d52cf-c47a-f111-ab0f-6045bdd69738; 3d8d52cf-c47a-f111-ab0f-6045bdd69738,b67835ca-c37a-f111-ab0f-6045bdd69678
fd8be1e6-b389-f111-ab10-000d3a14673b,The Fight for the Promiseland,,,,,,fd8be1e6-b389-f111-ab10-000d3a14673b
8cc2a2e6-b389-f111-ab10-6045bdd69738,The Flame,,,,,,8cc2a2e6-b389-f111-ab10-6045bdd69738
968fefe6-b389-f111-ab10-00224820105b,The I Am in Me,,,,,,968fefe6-b389-f111-ab10-00224820105b
