canonicalProductId,generatedStableProductId,canonicalProductKey,canonicalWorkId,canonicalEditionId,title,authorDisplayName,format,rawFormat,isbn13,legacyOrAudioIdentifier,asin,publicationDate,distributionState,knownChannels,productRelationship,rawLegacyStatus,legacyStatusInterpretation,rawHouse,legacyHouseInterpretation,rawContract,legacyContractInterpretation,sourceRowNumber,existingAssetMatched
fcdd59dc-c47a-f111-ab0f-000d3a14673b,d3ccc615-de85-5578-a3d4-3b5afd59cf1c,identifier:9781950719815,6409d7cb-c27a-f111-ab0f-6045bdd69678,bb2da238-e5b5-58fc-a9a4-658e087992ae,"Help God, I Am Lonely",Cheryl Travis,EBOOK,Ebook,9781950719815,,B08XN4Y93R,2021-07-01,CURRENTLY_DISTRIBUTED,AMAZON_KINDLE,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,,,1,OPAQUE_LEGACY_CODE,90,true
13696bdc-c47a-f111-ab0f-6045bdd69678,b895756c-269e-501a-a6cd-f5d857833bd7,identifier:9781950719822,6409d7cb-c27a-f111-ab0f-6045bdd69678,bb2da238-e5b5-58fc-a9a4-658e087992ae,"Help God, I Am Lonely",Cheryl Travis,HARDCOVER,Hardback,9781950719822,,,2021-07-01,CURRENTLY_DISTRIBUTED,,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,Y,OPAQUE_LEGACY_CODE,1,OPAQUE_LEGACY_CODE,91,true
8a148ad7-c47a-f111-ab0f-00224820105b,a123ac6d-aae0-51ad-a393-14d22c16e9ec,identifier:9781950719839,9242c1c2-c37a-f111-ab0f-000d3a14673b,b524f9d8-bc38-5a3d-aff4-85984791f54d,Establishing Glory,"Jackie Smith, Jr.",EBOOK,Ebook,9781950719839,,B08SW6G5ZL,2021-02-14,CURRENTLY_DISTRIBUTED,AMAZON_KINDLE,REISSUE,AC (USA),OPAQUE_LEGACY_CODE,,,1,OPAQUE_LEGACY_CODE,92,true
fddd59dc-c47a-f111-ab0f-000d3a14673b,13904fee-42ee-5eac-a0ab-227d61727616,identifier:9781950719846,9242c1c2-c37a-f111-ab0f-000d3a14673b,b524f9d8-bc38-5a3d-aff4-85984791f54d,Establishing Glory,"Jackie Smith, Jr.",PAPERBACK,Paperback,9781950719846,,,2021-02-14,CURRENTLY_DISTRIBUTED,,REISSUE,AC (USA),OPAQUE_LEGACY_CODE,Y,OPAQUE_LEGACY_CODE,1,OPAQUE_LEGACY_CODE,93,true
32578adc-c47a-f111-ab0f-7c1e525b15c2,b6786cbd-8e3f-53fb-a87e-64d6e14aef10,identifier:9781950719853,574797d0-c27a-f111-ab0f-7c1e525b15c2,4d972da6-8fbe-5668-ab68-964096df3f94,Just What I Needed,Adrean Young,EBOOK,Ebook,9781950719853,,B08TYGCW2M,2021-03-01,CURRENTLY_DISTRIBUTED,AMAZON_KINDLE,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,,,1,OPAQUE_LEGACY_CODE,94,true
b181b9dd-c47a-f111-ab0f-00224820105b,ef9d4448-27b2-500c-af71-98a1b2f0815b,identifier:9781950719860,574797d0-c27a-f111-ab0f-7c1e525b15c2,4d972da6-8fbe-5668-ab68-964096df3f94,Just What I Needed,Adrean Young,PAPERBACK,Paperback,9781950719860,,,2021-03-01,CURRENTLY_DISTRIBUTED,,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,Y,OPAQUE_LEGACY_CODE,1,OPAQUE_LEGACY_CODE,95,true
b381b9dd-c47a-f111-ab0f-00224820105b,6ff51a3a-b5e9-5ab5-a1d6-a395fc29d3ca,identifier:9781950719877,1c3274cd-c27a-f111-ab0f-6045bdd69435,81af83ab-5cd3-5fb8-a325-8bc3640572cf,God's Nudge,Tekisha Wimbush,EBOOK,Ebook,9781950719877,,,2022-05-07,CURRENTLY_DISTRIBUTED,,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,,,1,OPAQUE_LEGACY_CODE,96,true
fedd59dc-c47a-f111-ab0f-000d3a14673b,39bade02-eefb-50b8-a352-58dc79ca2f79,identifier:9781950719884,1c3274cd-c27a-f111-ab0f-6045bdd69435,81af83ab-5cd3-5fb8-a325-8bc3640572cf,God's Nudge,Tekisha Wimbush,PAPERBACK,Paperback,9781950719884,,,2022-05-07,CURRENTLY_DISTRIBUTED,,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,,,1,OPAQUE_LEGACY_CODE,97,true
9f6ef3dc-c47a-f111-ab0f-6045bdd69435,73ffbece-6b86-53a9-ad33-e65c56b34acf,identifier:9781950719891,a01a04cd-c27a-f111-ab0f-000d3a14673b,d0621375-8f15-51d6-a8fb-b9fb3679f1ab,She,Darlene Carson,EBOOK,Ebook,9781950719891,,B08XC68LLN,2021-04-01,CURRENTLY_DISTRIBUTED,AMAZON_KINDLE,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,,,1,OPAQUE_LEGACY_CODE,98,true
114a4fdb-c47a-f111-ab0f-6045bdd69738,1c62f2ab-7a4d-5b5e-a1f0-a428865269ce,identifier:9781950719907,a01a04cd-c27a-f111-ab0f-000d3a14673b,d0621375-8f15-51d6-a8fb-b9fb3679f1ab,She,Darlene Carson,PAPERBACK,Paperback,9781950719907,,,2021-04-01,CURRENTLY_DISTRIBUTED,,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,Y,OPAQUE_LEGACY_CODE,1,OPAQUE_LEGACY_CODE,99,true
